형태소,빈도수
김희선,3
하기에도,3
두번째,3
장어,3
가볼만,3
이벤트,3
리뷰,3
ㅋㅋㅋㅋ,3
만해,3
아무,3
ㅋㅋㅋ,3
모시,3
비린내도,3
친절해서,3
났어요,3
얘기,3
부산,3
양념장,3
우연히,3
만두,3
살살,3
이해,3
하얀,3
후식,3
였던,3
편입,3
별도,3
커플,3
금액,3
곳도,2
기표,2
아들,2
대화,2
실망,2
가득한,2
일행,2
하기도,2
으로는,2
훌륭한,2
않을까,2
시반,2
갔는데도,2
초딩,2
즐겨,2
죽도,2
고소한,2
통통하고,2
방법,2
있으나,2
접근,2
특별한,2
작년,2
변경,2
되었습니다,2
부드럽게,2
만든,2
먹고나면,2
좋아서,2
기다리지,2
않아도,2
아기,2
간만,2
과도,2
걸려,2
든든한,2
준다,2
전통,2
프로,2
있게,2
굵은,2
떠보면,2
칭찬,2
편안하게,2
물리는,2
있긴한데,2
고추가,2
보관,2
맛있었지만,2
아니구요,2
빈대떡,2
부추,2
곁들여,2
짜다,2
웬만하면,2
불친절함,2
특성,2
서빙,2
정신,2
장점,2
단점,2
맛있으나,2
고민,2
많다,2
드세요,2
다녀온,2
비주,2
당황,2
갈색,2
결과,2
먹는다,2
이건,2
취향,2
버리면,2
숙취,2
기다렸는데,2
한다고,2
사리,2
비쥬,2
사시,2
통일,2
없었으면,2
아무튼,2
세로,2
바쁜,2
되고,2
않았습니다,2
유료,2
대서,2
스타일,2
기다려서,2
말투,2
툭툭,2
육지,2
점심때,2
기다림,2
이었는데,2
많을,2
오라,2
편함,2
중면,2
올려진,2
느껴집니다,2
웨딩홀,2
되지만,2
있던,2
이하,2
앉자마자,2
싶음,2
눈치,2
허겁지겁,2
실패하지,2
없지만,2
땅콩,2
있었다,2
느끼해서,2
이른,2
해줘서,2
만하,2
비린내가,2
심함,2
아까,2
받아가,2
시켜도,2
된다고,2
알아서,2
후추,2
나오는건,2
계산,2
잇어요,2
호텔,2
야해요,2
단일,2
만큼의,2
모르겠어요,2
매장,2
왔다,2
기다리기,2
편해요,2
하시면,2
이기,2
으로도,2
감은,2
그만큼,2
안남,2
다양하게,2
여러가지,2
당연히,2
현재,2
남아,2
되니,2
면발,2
그리,2
만의,2
특징,2
괜찮았어요,2
입장,2
껍데기,2
부분,2
없는데,2
인상,2
특색,2
나와요,2
같음,2
요리,2
열무,2
베고기,2
잘못,2
짜고,2
많지,2
아닐까,2
싶어요,2
드시고,2
달려서,2
먹었지만,2
뜨근하,2
갔어요,2
생겨서,2
편했어요,2
인거,2
먹었고,2
갔던,2
않으면,2
하더라구요,2
힘들것,2
늦은,2
남겼습니다,2
그랬음,2
타입,2
운영,2
실내,2
했지만,2
올라가,2
넣으면,2
경험,2
대신,2
설렁탕,2
두꺼운,2
돔베,2
맛있었던거,2
평타,2
찾아갔는데,2
평범했습니다,2
없더라구요,2
아쉬운,2
유명한데,2
높아,2
행시,2
포함,2
기다린,2
보람,2
가본,2
스럽게,2
둘다,2
했음,2
좋았던,2
먹기전에,2
실패,2
평점,2
않았지만,2
상추,2
있다고,2
가깝고,2
포인트,2
생소한,2
넓어,2
상대,2
가시도,2
오는,2
딱히,2
발라주셔서,2
살이,2
갈듯,2
알았는데,2
최소,2
ㅠㅠㅠ,2
허름,2
먹었을,2
소문,2
새로운,2
있었지만,2
많은데,2
전문,2
이정,2
이었음,2
주셨는데,2
많고요,2
짜리,2
였다,2
되지,2
않나,2
먹습니다,2
싫어하시는,2
갈릴,2
한잔,2
유일하게,2
두툼,2
적절한,2
어울려,2
시켜야,2
먹지,2
천원,2
통통한,2
덩이,2
배추,2
비리고,2
시내,2
도민,2
주로,2
무침에,2
국산,2
대해,2
맛임,2
없어,2
칼칼한,2
친절하고,2
비는,2
비싸요,2
좋았지만,2
나와,2
어린이,2
잘라,2
구워주시는,2
찌게,2
첫날,2
사돈,2
가치,2
굽는게,2
구워주셔서,2
구워서,2
추운,2
환기,2
질기,2
지도,2
사이드,2
남겼어요,2
기준,2
고깃집,2
먹던,2
짜서,2
다망,2
고객,2
같은게,2
시키던지,2
나왔던,2
없었음,2
구워주는,2
동네,2
찍어,2
술술,2
빠른,2
신분,2
좋아하는데,2
마감,2
만에,2
버리고,2
잘라서,2
오셔서,2
하시는거,2
성인,2
괜찮다,2
들어왔습니다,2
깜짝,2
그렇다고,2
인공,2
진국,2
깔끔하면서도,2
끓인,2
하였고,2
동시,2
외지,2
수제비,2
청결,2
왠지,2
편의,2
나게,2
어구,2
이를,2
하는게,2
감수,2
해주시고,2
생각나서,2
갔다,2
하러,2
따뜻하게,2
느끼한,2
여긴,2
들어,2
늦게까지,2
가세,2
휴무,2
짱짱,2
좋았다,2
해조류,2
갔다가,2
애기,2
별개,2
자극,2
부족함,2
좀더,2
끼리,2
포기,2
먹으로,2
알뜰,2
여행자,2
먹는게,2
기름,2
아닌데,2
이만,2
곳임,2
짐하게,2
왔습니다,2
무시,2
갑니다,2
구성,2
드신,2
조미료,2
말씀,2
제외,2
대박,2
깔끔하니,2
다행,2
고파서,2
검색,2
맛있는거,2
오게,2
소스,2
있을것,2
감성,2
간도,2
골고루,2
편히,2
접대,2
원하는,2
깔끔하게,2
그렇게,2
먹으면서,2
보는데,2
오기,2
만족했어요,2
좋아하셨어요,2
여기는,2
해물,2
이든,2
한다는,2
잡내가,2
평범합니다,2
깍두기,2
편임,2
없었습니다,2
그럭저럭,2
의외로,2
결재,2
만족해요,2
남성,2
찾기,2
납니다,2
편견,2
정성,2
만들어,2
와우,2
미영,2
시래기,2
어마,2
가고싶은,2
어탕,2
방어,2
잇는데,2
아니라서,2
담백합니다,2
신세계,2
존맛,2
되네요,2
아이스크림,2
괜찮지만,2
한정식,2
되었는데,2
그닥,2
녹아요,2
양은,2
숨은,2
충분한,2
적당함,2
싸인,2
들어갔는데,2
장사,2
나이,2
반말,2
많지만,2
죽은,2
특별할,2
지나가다,2
너구리,2
기를,2
먹거나,2
자리,2
제육,2
현미,2
건강한,2
보리밥,2
주민,2
돼지국밥,2
느낄수,2
가시리,2
자타,1
공인,1
쉽게,1
착하면,1
해야하며,1
사람과,1
얽혀,1
번잡,1
하다하기에,1
맞춰,1
먹을수록,1
신기하게도,1
더욱,1
맛있어져,1
깨끗이,1
비워,1
버리게,1
희안한,1
반면,1
갈리,1
들으면,1
극찬,1
하곤,1
한다우리,1
일부,1
불만,1
토로,1
일부러,1
만을,1
놓고,1
싶다하지만,1
아무리,1
힘들다,1
짜증,1
얼굴,1
큰소리,1
