형태소,빈도수
카페라떼,7
퀄리티,7
싶을,7
했고,7
꿀맛,7
바닷가,7
발견,7
운치,7
이기,7
고양이,7
시켰어요,7
항상,7
나서,7
먹는데,7
이며,7
갔을,7
보지,7
고소함이,7
모르겠다,7
먹다가,7
맞는,7
하시고,7
우연히,7
여유롭게,7
드셔,7
멀리,7
가도,7
갑자기,7
인생샷,7
있었어요,7
미리,7
가시,7
설탕,7
나올,7
달라,7
버전,7
나중,7
장소,7
같아,7
샐러드,7
괜찮았다,7
예술,7
달리,7
아쉬움,7
아기자기하고,7
주악,7
예요,7
모양,7
예상,7
운전,7
여름,7
들어가는,7
재미,7
대해,7
없어요,7
양갱,7
싶었는데,7
가까운,7
바나나,7
먹었습니다,7
괜찮고,7
코스,7
와는,7
블루,7
편하게,7
저격,7
스럽지,7
넓어서,7
곳곳,7
대리,7
필수,7
창문,7
왔는데,7
에만,7
바깥,7
해안,7
들어가서,7
로쉐,7
테라로사,7
파운드,7
핸드,7
계란,7
걱정,7
풍림브레붸,7
수목원,7
오션,7
베리,7
와랑,7
보러,7
티비,7
크레페,7
왕자,7
바움쿠헨,7
입장,6
대로,6
안내,6
없지만,6
찍으러,6
같습니다,6
싶네요,6
베스트,6
골목,6
있었고,6
없음,6
적고,6
엄청난,6
맥주,6
느낌이었어요,6
하루,6
더욱,6
많아요,6
담백한,6
들러,6
준비,6
껍질,6
편안한,6
경험,6
야할,6
느껴진다,6
봐서,6
친절하고,6
후회,6
않았지만,6
사용,6
멋진,6
되는데,6
만점,6
비행기,6
좋습니다,6
진하게,6
그게,6
의외로,6
먹다,6
아쉽다,6
요기,6
좋겠다,6
아쉬웠다,6
특유,6
비추,6
만의,6
찾아갈,6
이쁜,6
마실,6
전시,6
옛날,6
사서,6
아저씨,6
나고,6
은은하게,6
놓고,6
하셔서,6
딱히,6
마셔서,6
아인,6
슈페,6
강한,6
체리,6
시킬,6
부부,6
예쁘다,6
동쪽,6
메뉴판,6
환상,6
아름다운,6
좋았고,6
촉촉하고,6
들어가면,6
스프,6
겨울,6
만들어,6
주시,6
아마,6
바글바글,6
점점,6
된다면,6
대부분,6
차관,6
많지,6
타고,6
충분히,6
