형태소,빈도수
상태,4
찾아갈,4
예전,4
나왔어요,4
당황,4
든다,4
될듯,4
께서,4
먹지,4
없었다,4
않았어요,4
뭔가,4
불구,4
영업,4
호점,4
갔다,4
살살,4
괜찮다,4
하다가,4
수저,4
수준,4
필수,4
두고,4
지점,4
없었어요,4
들어서,4
이해,4
말씀,4
모르겠다,4
월요일,4
맛볼,4
하시는데,4
위생,4
칼칼한,4
였는데,4
가야,4
먹다,4
깊고,4
찾기,4
나와,4
인정,4
전복죽,4
해장,4
당면,4
라서,4
건더기,4
속이,4
후회,4
먹어서,4
덩이,4
있던,4
기준,4
느끼한,4
앉자마자,4
가까운,4
통통한,4
고추,4
시켰다,4
스럽게,4
나오는데,4
짜리,4
맛있긴,4
대로,4
최악,4
양파,4
이라니,4
메밀,4
난다,4
나왔고,4
크게,4
명랑,4
감동,4
쌀밥,4
청양고추,4
씹히는,4
소진,4
워낙,4
먹으면서,4
찌게,4
만점,4
와구,4
이정식,4
결론,4
중국산,4
짜장,4
싸서,3
맛있,3
대표,3
확인,3
어울리는,3
짜지,3
청와대,3
계절,3
갔다가,3
들리는,3
후루룩,3
세번,3
아무튼,3
거기,3
비우고,3
남깁니다,3
맛깔,3
스러운,3
비싸고,3
나왔습니다,3
났어요,3
지역,3
남는,3
야할,3
비싸긴,3
식욕,3
산방산,3
튀겨,3
셀프,3
보세요,3
됩니다,3
여유,3
싶어서,3
적고,3
이인,3
나와요,3
보면서,3
하였는데,3
하여,3
하길,3
않으니,3
이긴,3
베이스,3
넉넉한,3
진하고,3
ㅠㅜ,3
비빔국수,3
시간대,3
많아요,3
였고,3
보며,3
즐거움,3
내장,3
나가는,3
이모,3
좋아하지도,3
조화,3
좋지만,3
사용,3
조리,3
등장,3
않다,3
그야말로,3
숟갈,3
장아찌,3
고급,3
강한,3
아닐까,3
야하는,3
평일,3
주는데,3
넉넉하게,3
들어갔다,3
인기,3
나오니,3
아빠,3
단순히,3
했고,3
달콤한,3
짱아찌,3
두부,3
저렇게,3
들어있고,3
진하게,3
된다,3
조개,3
비린,3
멍게,3
먹거나,3
고함,3
남양,3
수산,3
비린내도,3
얼큰하고,3
너무나,3
휴가,3
없어요,3
되더라구요,3
좁아서,3
아니라서,3
서는,3
궁합,3
이었어서,3
오후,3
부드러움,3
착석,3
나옴,3
도민,3
맞아요,3
같기도,3
걸어서,3
하세요,3
분전,3
주산,3
신경,3
빼고,3
되고,3
기는,3
잘못,3
차이,3
니까,3
산이,3
어머니,3
하셨는데,3
노르웨이,3
굿굿,3
한정식,3
가시길,3
없습니다,3
있다고,3
멀리,3
드립니다,3
성인,3
칭찬,3
어린이,3
같음,3
되는데,3
갔고,3
먹을만,3
미친,3
접짝뼈국,3
깊은,3
우진,3
들어가있고,3
끓여,3
특징,3
떨어져서,3
넣은,3
아쉬웠어요,3
맞는,3
순간,3
돼서,3
의외로,3
나올,3
좋습니다,3
대도,3
있는게,3
있었음,3
해체,3
사이즈,3
강하게,3
상당히,3
않을까,3
먹었네요,3
시키면,3
맛있어,3
입니,3
싶네요,3
없어,3
크기,3
유부,3
픽업,3
넘게,3
씹을수록,3
치킨,3
맛살,3
짜다는,3
시반,3
지지,3
파는,3
였음,3
않는,3
통해,3
통화,3
너머,3
누가,3
만에,3
포기,3
기다렸다,3
하자면,3
짜고,3
라도,3
가고,3
만으로,3
싶었는데,3
에겐,3
번호,3
무가,3
조각,3
비린내가,3
현지,3
체계,3
늦은,3
성산일출봉,3
에여,3
풍경,3
기회,3
고려,3
배부르다,3
그렇고,3
전형,3
치고,3
높은,3
왕새우,3
대서,3
하구,3
갔을,3
앉아서,3
정원,3
과음,3
숙취,3
본점,3
먹는다,3
마늘,3
비주,3
내용물,3
타고,3
먹고싶다,3
가세,3
손수,3
삭제,3
가능,3
민경,3
왠지,3
포장,3
먹고싶어서,3
찾다가,3
있으나,3
로서,3
아침식사,3
나서,3
환상,3
택시,3
아아,3
청결,3
해도,3
옆집,3
하나같이,3
짜지도,3
에다가,3
사랑,3
점점,3
해본,3
익은,3
달달,3
않는데,3
오징어,3
입장,3
보았다,3
조금씩,3
맛있다는,3
평범하다,3
평범한,3
괜찮았어요,3
야외,3
먹느라,3
함덕,3
비싼데,3
일까,3
끓인,3
껍데기,3
밥집,3
왔는데,3
생각나는,3
슬포,3
무도,3
아쉬웠다,3
계란찜,3
친절함,2
위주,2
앉으면,2
해주시고,2
해주십니다,2
키친,2
예쁘게,2
나오네요,2
비빕,2
성계,2
깔끔하게,2
간단한,2
있네요,2
좋은데,2
추운,2
해야하는,2
진심,2
애기,2
있어,2
시키니,2
넣으니,2
리필,2
느껴져요,2
있었으면,2
친절한,2
정갈한,2
친절하게,2
도대체,2
줍니다,2
먹으려고,2
그나마,2
어우러져,2
두루치기,2
벵에돔,2
아쉽지만,2
목살,2
한자리,2
좋았을,2
하네요,2
찾는,2
통째,2
남김없이,2
까진,2
아닌데,2
묻혀,2
납니다,2
봐야겠다,2
깡패,2
튀겨서,2
괜찮음,2
불친절,2
다른데,2
가는게,2
먹엇어,2
아닌거,2
왔네요,2
빨간,2
되게,2
달리,2
유리,2
있었던,2
가능한,2
가능하다고,2
이색,2
되지,2
않았고,2
없음,2
유명하다고,2
향신료,2
많았어요,2
매워서,2
봤어요,2
많았는데,2
놀랐어요,2
길가,2
브레이크,2
타임,2
피해,2
우도,2
열어서,2
들어와서,2
오오,2
야들야들,2
다금바리,2
않습니다,2
회로,2
코스,2
스끼,2
기다렸는데,2
먹고싶네요,2
씹히고,2
미쳤습니다,2
재는,2
대의,2
서인,2
이기도,2
레이스,2
그렇다고,2
연상,2
싶지는,2
짧은,2
일정,2
온갖,2
신선한,2
내기,2
시래기,2
제격,2
강하지,2
않는다,2
머리,2
들어,2
장식,2
재미,2
규모,2
실내,2
작아서,2
찾아,2
만큼의,2
맛볼수,2
개맛,2
최고다,2
놀러,2
길어요,2
소요,2
된다고,2
않았습니다,2
이후,2
로는,2
하시고,2
이상만,2
그걸,2
싶긴,2
고픈,2
가진,2
할듯,2
성한,2
상대,2
한가지,2
어르신,2
좋아할,2
개운한,2
좋아하시는,2
좋아하실,2
데리,2
가량,2
둘다,2
나눠,2
나왔는데,2
나오는게,2
담겨,2
웬걸,2
토핑,2
송송,2
된장,2
찌개,2
짰다,2
고소함,2
초장,2
낸다,2
뻔한,2
느낄,2
찾아가,2
건강하고,2
하기는,2
주심,2
동생,2
맛있어용,2
붓고,2
만들어,2
모르는,2
무맛,2
회도,2
하고싶어요,2
기다리던,2
찍어,2
아예,2
두시,2
대중,2
매니아,2
아쉬웠는데,2
됐어요,2
자랑,2
알았어요,2
많더라구요,2
같았음,2
만석,2
친절하셨어요,2
아니었지만,2
터지게,2
지리는,2
안되고,2
뭐랄까,2
내내,2
한라산,2
보긴,2
계획,2
있었지만,2
여파,2
끝판,2
하얀,2
주오,2
래서,2
넘나,2
기름지고,2
막걸리,2
술술,2
특이한,2
시키고,2
얹어,2
좋았던,2
지난,2
이용,2
우려,2
고소해서,2
햇반,2
모르겠어요,2
연휴,2
기다릴,2
만하,2
나오기까지,2
바빠서,2
쓴다,2
요청,2
한참,2
원산지,2
쓰시,2
나더라구요,2
작아,2
맛있을,2
일인,2
싶은데,2
정돈,2
어구,2
표기,2
있다는게,2
비행기,2
되었고,2
그게,2
미식,2
이를,2
표현,2
표고,2
한림,2
유머,2
괜찮아,2
메인디,2
맛있었지만,2
주더라구요,2
갑니다,2
괜찮았음,2
주로,2
적은,2
오래된,2
마찬가지,2
분도,2
만든,2
다양하고,2
단위,2
먹을거,2
깨끗하고,2
좋을것,2
강함,2
고기랑,2
묵고,2
여행가,2
향토음식,2
부드럽게,2
같고,2
이미,2
감자,2
낭낭,2
들었네요,2
분식,2
분식집,2
이른,2
차별,2
팍팍,2
추어탕,2
덜해서,2
대신,2
막창,2
찹쌀,2
일품,2
들어있는,2
즐길,2
제공,2
막창순대,2
성공,2
남은,2
집이네요,2
알알이,2
씹히는게,2
들어있는데,2
않을,2
크림,2
스프,2
힘든,2
어울려서,2
닫는,2
일부러,2
돌아갈,2
단점,2
시시,2
비오는,2
듬뿍,2
부위,2
와도,2
손질,2
유명하다는,2
감탄,2
냉동,2
렌트카,2
아쉽다,2
압도,2
좋겠다,2
없다는,2
시대,2
차리고,2
ㄹㅇ,2
했을,2
스런,2
생각나서,2
적어서,2
다식,2
다재,2
크고,2
비싸게,2
이만원,2
남겨,2
먹자,2
순삭,2
찾을,2
물리,2
니깐,2
받은,2
놔서,2
오지,2
했네요,2
그땐,2
으로도,2
들러,2
땡기는,2
신기한,2
맞춰서,2
떡갈비,2
만의,2
싶어요,2
아쉽,2
받는,2
그건,2
의견,2
사서,2
명성,2
실패해서,2
기름기,2
권장,2
넣는,2
수십,2
자주,2
이야,2
고객,2
이기,2
왔으니,2
에가,2
달기,2
모를,2
암튼,2
응대,2
기계,2
없을,2
금요일,2
기다렸어요,2
점심때,2
이정,2
서서,2
꿀맛,2
시킬,2
싶었다,2
싶다면,2
아니었어요,2
좁고,2
다행,2
모르겠지만,2
카페,2
대기줄이,2
길어서,2
기다릴만,2
어차피,2
예쁘다,2
비롯,2
이타미,2
대가,2
할지,2
만족했습니다,2
먹고싶은데,2
딱히,2
스파게티,2
퍼져서,2
아쉬웠지만,2
달걀,2
그니,2
스키야키,2
면발,2
좋았지만,2
강하고,2
서브,2
행복한,2
좋아하는데,2
ㅋㅋㅋㅋㅋ,2
탱글탱글,2
맛있구,2
쫄깃쫄깃,2
시금치,2
년전,2
치고는,2
새우는,2
괜찮아서,2
갔었는데,2
초밥,2
해볼만,2
은희,2
맑은,2
어울린다,2
하네,2
절로,2
보람,2
단일,2
제외,2
풀림,2
열고,2
싶을,2
맑고,2
개운하다,2
한잔,2
싹싹,2
긁어,2
바닥,2
드는,2
선호,2
햄버거,2
불러서,2
보아,2
찾아가서,2
든든하게,2
라이스,2
속도,2
않네요,2
없지,2
모르겠음,2
나네요,2
인당,2
이벤트,2
바람,2
그리,2
젓갈,2
된장찌개,2
비쥬,2
ㅋㅋㅋㅋㅋㅋㅋ,2
엄청난,2
잔뼈,2
없었다는,2
ㅋㅋㅋㅋㅋㅋ,2
낫다,2
시원해서,2
제대로,2
아니고요,2
씹어,2
맥주,2
괜찮은데,2
해녀,2
버림,2
안쪽,2
숟가락,2
시원하구,2
주시네요,2
서너,2
색다르게,2
있을것,2
아니지,2
퉁퉁,2
밀가루,2
가니,2
유명,2
나오더라구요,2
이구나,2
중면,2
맛깔나고,2
담백해서,2
기다린,2
남성,2
들를,2
버스,2
장소,2
의자,2
앉아있었다,2
나도,2
급하게,2
꽉꽉,2
많았다,2
냠냠,2
찾아올,2
아니라고,2
이었고,2
봐서,2
쌈장,2
였다고,2
느껴질,2
태어나서,2
돌아가는,2
먹을까,2
차지,2
와야,2
나오기,2
두번째,2
항상,2
지인,2
돌고,2
말라,2
가까워서,2
대단한,2
집어,2
최근,2
뚝딱,2
먹었,2
올리고,2
ㅠㅠㅠㅠㅠ,2
슨생님,2
연잎,2
착한,2
가득한,2
다소니,2
석도,2
나게,2
이뻐서,2
왔다,2
도토리묵,2
다니는,2
있다니,2
찰밥,2
된장국,2
화장실,2
수제비,2
이자,2
추억,2
초등학교,2
학교,2
비쌈,2
들었습니다,2
가득해서,2
먹어요,2
특별함을,2
더웠어요,2
작고,2
늦게,2
순서대로,2
동쪽,2
중문,2
싶어,2
썰어,2
그럭저럭,2
아니더라도,2
싶진,2
감각,2
컨셉,2
열한시,2
열한,2
와이프,2
가자고,2
시킴,2
나다,2
드시길,2
아니나,2
구성은,2
나요,2
발견,2
느끼해서,2
시켰어요,2
클리어,2
새우도,2
열무,2
찍기,2
가봤어요,2
예쁘고,2
났음,2
차로,2
해보고,2
꽃게,2
아저씨,2
데워서,2
무거,2
버거,2
살기,2
즐기진,2
어제,2
마신,2
먹었지만,2
친절하고,2
백종원,2
초심자,2
되기,2
돼지국밥,2
흔히,2
판단,2
아닌가,2
주고,2
아까울,2
구워서,2
촉촉한,2
모양,2
아무래도,2
잡아서,2
방식,2
젓가락,2
두께,2
대한,2
비도,2
수가,2
뚫고,2
나왔던,2
났고,2
할머니,2
럭키,2
토막,2
해봐도,2
메리트,2
살의,2
보드,2
조름,2
마냥,2
핵꿀,2
찾은,2
갑인,2
쌈채,2
했어용,2
저격,2
일듯,2
만족했어요,2
애매한,2
새로운,2
칼칼하면서도,2
해보면,2
사골,2
무침,2
육계장,2
에게는,2
휴무,2
아니었다,2
생물,2
괜찮을,2
좋았고,2
간건데,2
잡은,2
여러가지,2
시내,2
안되는,2
괜찮습니다,2
깨끗하지,2
다양하게,2
달걀찜,2
쿰쿰한,2
느낌이었습니다,2
기대했건만,2
가고싶은,2
유명한만큼,2
부드러워서,2
바가지,2
있게,2
돌보,2
멀지,2
원픽,2
만족도,2
아닌것,2
타르,2
타르소스,2
갑질,2
만드는,2
체인,2
않으면서,2
쫄면,2
긁어도,2
넣으셔서,2
싱싱하고,2
구수한,2
찍어서,2
음성,1
비릴수,1
좋을거,1
다이닝,1
코드,1
맞춰,1
소개,1
받을,1
오이,1
있냐고,1
정리,1
지나가면서,1
주방,1
깔끔했어요,1
분교,1
찍으니,1
들렀습니다,1
비빔,1
장이,1
다르고,1
연구,1
하신듯,1
들입니다,1
다듬고,1
계셨습니다,1
떨어지게,1
들려야겠네요,1
저녁식사,1
집이예요,1
조리사,1
계시,1
기존,1
하고는,1
다릅니다,1
정인,1
산굼부리,1
미를,1
느낄수,1
촤악,1
가라앉습니다,1
촤악국,1
미안함,1
챙피함,1
그런거,1
모릅니다,1
왠만하면,1
남기는데,1
한다고,1
핸드폰,1
인증,1
번거로,1
감수하면서까지,1
남겨요,1
정갈해요,1
구색,1
갖추기,1
놓는게,1
맛남,1
먹이라면서,1
잘라서,1
개알,1
다비,1
성품,1
인게,1
담번,1
스러워요,1
잘해주시고,1
잘먹엇어,1
고급스럽고,1
초보자,1
심심하면서도,1
맞아,1
기다렸습니다,1
먼지,1
모르겠습니다,1
내서,1
찾아가는것,1
시켰는데요,1
가락,1
한수,1
갈아서,1
덮어,1
신선하지,1
했구요,1
시중,1
넣었는지,1
알았습니다,1
로고,1
맛없었습니다,1
집사람,1
부보,1
찌푸리고,1
찮아서,1
나왔,1
읍니,1
적었어요,1
쟁취,1
하는자,1
승자,1
는대,1
잇는,1
잇지만,1
없엇다,1
전문,1
비싸긴한데,1
있기,1
이었다면,1
살아나게,1
훌륭하다고,1
가보았습니다,1
김치전,1
곁들였는데,1
물티슈,1
앉았는데,1
보는둥,1
마는,1
주시길래,1
주신,1
죽습니다,1
대화,1
없어집니다,1
오게,1
연속,1
시키세요,1
보다가,1
찾아갔습니다,1
올랐는데,1
예정,1
조아요,1
담가,1
나온거랑,1
넘음,1
지저분하고,1
날거에요,1
옷돔,1
잇게,1
직해요,1
머무,1
건너,1
모르겠는,1
군데,1
이기는,1
이거든요,1
즐기고,1
시키지,1
힘들었,1
씁니다,1
그닥,1
싶지,1
매장,1
맛있었,1
다홍,1
비슷마당,1
강아지,1
귀여웠고,1
알아보다가,1
앉음,1
관심,1
보였으나,1
않았음,1
많을,1
인해,1
잡았지만,1
앉아,1
보여,1
하였음,1
가능하나,1
대정,1
건너편,1
선착장,1
앞치마,1
배려,1
심심한,1
깔끔했고,1
기기,1
힘들더라구요,1
매웠으면,1
궁물,1
오션,1
가봤지만,1
메모,1
단골,1
가봐요,1
작은데,1
광고,1
허탕,1
치는,1
화나는,1
다르네요,1
그리구,1
도롱,1
깜놀,1
추합니다,1
우연히,1
마주친,1
숨은,1
무진장,1
비슷하지만,1
찍었어요,1
마라,1
종달항,1
